Wavelength		Absorption cross section	Emission cross section			
m	nm	m2	m2			
8.5000000000000000E-07	8.5000000000000000E+02	2.3154986066660500E-26	1.2952496095023800E-29			
8.5100000000000000E-07	8.5100000000000000E+02	2.5055545955450000E-26	1.5000790453689300E-29			
8.5200000000000000E-07	8.5200000000000000E+02	2.7006139792784600E-26	1.7302340782642300E-29			
8.5300000000000000E-07	8.5300000000000000E+02	2.8868057120243800E-26	1.9788960143032300E-29			
8.5400000000000000E-07	8.5400000000000000E+02	3.0825185782094900E-26	2.2605047415156800E-29			
8.5500000000000000E-07	8.5500000000000000E+02	3.2696520582548100E-26	2.5646436879204100E-29			
8.5600000000000000E-07	8.5600000000000000E+02	3.4664247190272900E-26	2.9078015394312800E-29			
8.5700000000000000E-07	8.5700000000000000E+02	3.6684568323184400E-26	3.2904541921089900E-29			
8.5800000000000000E-07	8.5800000000000000E+02	3.8952384420194600E-26	3.7353226668239700E-29			
8.5900000000000000E-07	8.5900000000000000E+02	4.1715503007021200E-26	4.2760781030810400E-29			
8.6000000000000000E-07	8.6000000000000000E+02	4.4786363965894400E-26	4.9066003241213100E-29			
8.6100000000000000E-07	8.6100000000000000E+02	4.8081045814214600E-26	5.6289632948209800E-29			
8.6200000000000000E-07	8.6200000000000000E+02	5.1413157210908700E-26	6.4310450478792400E-29			
8.6300000000000000E-07	8.6300000000000000E+02	5.4699152109938400E-26	7.3092699855570300E-29			
8.6400000000000000E-07	8.6400000000000000E+02	5.8215798672712300E-26	8.3091002404767200E-29			
8.6500000000000000E-07	8.6500000000000000E+02	6.1980348170865700E-26	9.4475827789767600E-29			
8.6600000000000000E-07	8.6600000000000000E+02	6.5926602328754600E-26	1.0730377497009900E-28			
8.6700000000000000E-07	8.6700000000000000E+02	7.0023629058953500E-26	1.2168045324852800E-28			
8.6800000000000000E-07	8.6800000000000000E+02	7.4000002539694100E-26	1.3726643272761100E-28			
8.6900000000000000E-07	8.6900000000000000E+02	7.8291423864766900E-26	1.5500223165775100E-28			
8.7000000000000000E-07	8.7000000000000000E+02	8.2972454106269000E-26	1.7530076229460300E-28			
8.7100000000000000E-07	8.7100000000000000E+02	8.8082963430674600E-26	1.9856517505172500E-28			
8.7200000000000000E-07	8.7200000000000000E+02	9.3344510190578200E-26	2.2448982068220100E-28			
